name,date,open_value,high_value,low_value,close_value,adj_close,volume
Dow Jones,2017-07-31,21863.39,21929.8,21861.71,21891.12,21891.12,307610000.0
Dow Jones,2017-07-28,21787.51,21841.18,21756.12,21830.31,21830.31,285630000.0
Dow Jones,2017-07-27,21717.42,21798.47,21687.85,21796.55,21796.55,407320000.0
Dow Jones,2017-07-26,21690.38,21742.7,21683.29,21711.01,21711.01,278240000.0
Dow Jones,2017-07-25,21638.56,21670.62,21577.37,21613.43,21613.43,304300000.0
Dow Jones,2017-07-24,21577.78,21577.78,21496.13,21513.17,21513.17,284080000.0
Dow Jones,2017-07-21,21591.72,21592.61,21503.78,21580.07,21580.07,362830000.0
Dow Jones,2017-07-20,21641.54,21661.91,21576.96,21611.78,21611.78,313950000.0
Dow Jones,2017-07-19,21569.25,21640.75,21565.84,21640.75,21640.75,253040000.0
Dow Jones,2017-07-18,21589.94,21589.94,21471.14,21574.73,21574.73,251110000.0
Dow Jones,2017-07-17,21633.97,21661.81,21617.66,21629.72,21629.72,244780000.0
Dow Jones,2017-07-14,21532.77,21681.53,21521.72,21637.74,21637.74,235590000.0
Dow Jones,2017-07-13,21537.19,21568.72,21512.36,21553.09,21553.09,232270000.0
Dow Jones,2017-07-12,21467.93,21580.79,21467.93,21532.14,21532.14,267870000.0
Dow Jones,2017-07-11,21410.17,21441.62,21279.3,21409.07,21409.07,247570000.0
Dow Jones,2017-07-10,21381.23,21446.39,21371.11,21408.52,21408.52,270340000.0
Dow Jones,2017-07-07,21354.66,21425.82,21350.72,21414.34,21414.34,242240000.0
Dow Jones,2017-07-06,21423.93,21433.1,21305.38,21320.04,21320.04,320450000.0
Dow Jones,2017-07-05,21492.83,21505.36,21404.76,21478.17,21478.17,273690000.0
Dow Jones,2017-07-03,21392.3,21562.75,21391.71,21479.27,21479.27,186810000.0
Dow Jones,2017-06-30,21348.6,21426.12,21325.08,21349.63,21349.63,313260000.0
Dow Jones,2017-06-29,21487.38,21487.38,21197.08,21287.03,21287.03,336750000.0
Dow Jones,2017-06-28,21372.36,21478.75,21372.36,21454.61,21454.61,271510000.0
Dow Jones,2017-06-27,21411.19,21440.6,21310.66,21310.66,21310.66,292170000.0
Dow Jones,2017-06-26,21434.68,21506.21,21381.25,21409.55,21409.55,241880000.0
